GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos-application,com.increff.pos.dao,DailyReportDao,31,10,0,0,8,4,3,2,3,2
pos-application,com.increff.pos.dao,AbstractDao,3,16,0,0,1,3,1,3,1,3
pos-application,com.increff.pos.dao,ProductDao,27,57,0,0,7,16,2,6,2,6
pos-application,com.increff.pos.dao,BrandDao,86,60,4,0,20,16,4,6,2,6
pos-application,com.increff.pos.dao,InventoryDao,0,36,0,0,0,10,0,5,0,5
pos-application,com.increff.pos.dao,UserDao,57,12,0,0,13,5,5,2,5,2
pos-application,com.increff.pos.dao,OrderItemDao,15,28,0,0,3,9,1,4,1,4
pos-application,com.increff.pos.dao,OrderDao,47,42,0,0,11,13,3,5,3,5
pos-application,com.increff.pos.dto,ReportDto,375,3,32,0,79,1,24,1,8,1
pos-application,com.increff.pos.dto,BrandDto,11,73,2,4,2,22,2,7,0,6
pos-application,com.increff.pos.dto,ProductDto,43,191,5,9,5,44,5,8,0,6
pos-application,com.increff.pos.dto,OrderItemDto,312,192,13,13,63,44,15,8,5,5
pos-application,com.increff.pos.dto,InventoryDto,45,161,7,11,8,44,7,9,0,7
pos-application,com.increff.pos.service,OrderItemService,0,24,0,2,0,6,0,4,0,3
pos-application,com.increff.pos.service,DailyReportService,109,3,2,0,20,1,5,1,4,1
pos-application,com.increff.pos.service,ApiException,0,4,0,0,0,2,0,1,0,1
pos-application,com.increff.pos.service,BrandService,54,143,6,10,5,30,6,11,1,8
pos-application,com.increff.pos.service,ProductService,51,119,7,9,8,30,8,10,2,8
pos-application,com.increff.pos.service,InventoryService,15,58,2,4,2,17,2,8,0,7
pos-application,com.increff.pos.service,UserService,34,3,2,0,9,1,5,1,4,1
pos-application,com.increff.pos.service,AboutAppService,6,3,0,0,2,1,2,1,2,1
pos-application,com.increff.pos.service,OrderService,27,25,1,1,5,8,3,5,2,5
pos-application,com.increff.pos.model,OrderItemData,21,3,0,0,4,1,6,1,6,1
pos-application,com.increff.pos.model,MessageData,10,0,0,0,4,0,3,0,3,0
pos-application,com.increff.pos.model,SalesReportForm,31,0,0,0,6,0,9,0,9,0
pos-application,com.increff.pos.model,InventoryData,0,10,0,0,0,3,0,3,0,3
pos-application,com.increff.pos.model,DailyReportForm,17,0,0,0,4,0,5,0,5,0
pos-application,com.increff.pos.model,InfoData,33,0,0,0,9,0,7,0,7,0
pos-application,com.increff.pos.model,InvoiceData,64,0,2,0,11,0,12,0,11,0
pos-application,com.increff.pos.model,SalesReportData,31,0,0,0,6,0,9,0,9,0
pos-application,com.increff.pos.model,InventoryForm,0,17,0,0,0,4,0,5,0,5
pos-application,com.increff.pos.model,ProductForm,0,38,0,0,0,7,0,11,0,11
pos-application,com.increff.pos.model,ProductData,3,14,0,0,1,3,1,4,1,4
pos-application,com.increff.pos.model,SignupForm,17,0,0,0,4,0,5,0,5,0
pos-application,com.increff.pos.model,AboutAppData,17,0,0,0,7,0,5,0,5,0
pos-application,com.increff.pos.model,InvoiceLineItem,52,0,0,0,8,0,13,0,13,0
pos-application,com.increff.pos.model,OrderData,9,15,0,0,3,2,3,4,3,4
pos-application,com.increff.pos.model,BrandForm,0,17,0,0,0,4,0,5,0,5
pos-application,com.increff.pos.model,UserForm,24,0,0,0,5,0,7,0,7,0
pos-application,com.increff.pos.model,OrderItemForm,0,24,0,0,0,5,0,7,0,7
pos-application,com.increff.pos.model,LoginForm,17,0,0,0,4,0,5,0,5,0
pos-application,com.increff.pos.model,InventoryReportData,24,0,0,0,5,0,7,0,7,0
pos-application,com.increff.pos.model,BrandData,3,7,0,0,1,3,1,2,1,2
pos-application,com.increff.pos.model,DailyReportData,31,0,0,0,6,0,9,0,9,0
pos-application,com.increff.pos.model,UserData,24,0,0,0,10,0,7,0,7,0
pos-application,com.increff.pos.controller,SiteUiController,16,3,0,0,4,1,4,1,4,1
pos-application,com.increff.pos.controller,ReportApiController,20,3,0,0,4,1,4,1,4,1
pos-application,com.increff.pos.controller,SampleController,43,3,0,0,11,1,1,1,1,1
pos-application,com.increff.pos.controller,AppUiController,40,3,0,0,10,1,10,1,10,1
pos-application,com.increff.pos.controller,InitApiController,56,3,2,0,15,1,4,1,3,1
pos-application,com.increff.pos.controller,AbstractUiController,39,3,4,0,7,1,3,1,1,1
pos-application,com.increff.pos.controller,InventoryApiController,0,28,0,0,0,9,0,6,0,6
pos-application,com.increff.pos.controller,OrderApiController,5,17,0,0,1,5,1,4,1,4
pos-application,com.increff.pos.controller,AppRestControllerAdvice,27,3,0,0,6,1,2,1,2,1
pos-application,com.increff.pos.controller,AdminApiController,42,3,2,0,12,1,4,1,3,1
pos-application,com.increff.pos.controller,ProductApiController,0,28,0,0,0,9,0,6,0,6
pos-application,com.increff.pos.controller,BrandApiController,0,28,0,0,0,9,0,6,0,6
pos-application,com.increff.pos.controller,AboutApiController,16,3,0,0,4,1,1,1,1,1
pos-application,com.increff.pos.controller,LoginController,168,3,10,0,42,1,9,1,4,1
pos-application,com.increff.pos.util,StringUtil,5,16,2,4,1,2,3,3,1,2
pos-application,com.increff.pos.util,Helper,148,170,4,2,36,47,9,11,7,10
pos-application,com.increff.pos.util,IOUtil,11,0,2,0,7,0,3,0,2,0
pos-application,com.increff.pos.util,Validate,452,327,55,41,67,73,48,13,6,7
pos-application,com.increff.pos.util,CookieUtil,36,0,6,0,8,0,5,0,2,0
pos-application,com.increff.pos.util,SecurityUtil,27,0,2,0,9,0,6,0,5,0
pos-application,com.increff.pos.util,Normalize,50,43,0,0,10,11,4,3,4,3
pos-application,com.increff.pos.util,UserPrincipal,24,0,0,0,5,0,7,0,7,0
pos-application,com.increff.pos.pojo,ProductPojo,4,34,0,0,0,7,1,10,1,10
pos-application,com.increff.pos.pojo,InventoryPojo,0,17,0,0,0,4,0,5,0,5
pos-application,com.increff.pos.pojo,OrderItemPojo,10,28,0,0,2,5,3,8,3,8
pos-application,com.increff.pos.pojo,DailyReportPojo,35,3,0,0,6,1,10,1,10,1
pos-application,com.increff.pos.pojo,BrandPojo,4,20,0,0,0,5,1,6,1,6
pos-application,com.increff.pos.pojo,UserPojo,28,3,0,0,5,1,8,1,8,1
pos-application,com.increff.pos.pojo,OrderPojo,4,24,0,0,0,5,1,6,1,6
pos-application,com.increff.pos.spring,SecurityConfig,0,128,0,0,0,16,0,4,0,4
pos-application,com.increff.pos.spring,SpringSecurityInitializer,3,0,0,0,1,0,1,0,1,0
pos-application,com.increff.pos.spring,DbConfig,0,108,0,0,0,28,0,4,0,4
pos-application,com.increff.pos.spring,ControllerConfig,4,142,0,0,2,30,1,8,1,8
pos-application,com.increff.pos.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
pos-application,com.increff.pos.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
